timestamp,fuel,percentage
2026-07-05T04:00Z,imports,24.8
2026-07-05T04:00Z,gas,14.0
2026-07-05T04:00Z,nuclear,14.0
2026-07-05T04:00Z,other,2.9
2026-07-05T04:00Z,hydro,1.1
2026-07-05T04:00Z,solar,0.6
2026-07-05T04:00Z,wind,37.8
2026-07-05T04:30Z,biomass,5.1
2026-07-05T04:30Z,coal,0.0
2026-07-05T04:30Z,imports,24.6
2026-07-05T04:30Z,gas,14.7
2026-07-05T04:30Z,nuclear,14.6
2026-07-05T04:30Z,other,1.6
2026-07-05T04:30Z,hydro,1.2
2026-07-05T04:30Z,solar,1.7
2026-07-05T04:30Z,wind,36.4
2026-07-05T05:00Z,biomass,5.0
2026-07-05T05:00Z,coal,0.0
2026-07-05T05:00Z,imports,24.3
2026-07-05T05:00Z,gas,14.3
2026-07-05T05:00Z,nuclear,14.3
2026-07-05T05:00Z,other,2.6
2026-07-05T05:00Z,hydro,1.1
2026-07-05T05:00Z,solar,4.5
2026-07-05T05:00Z,wind,33.9
2026-07-05T05:30Z,biomass,4.6
2026-07-05T05:30Z,coal,0.0
2026-07-05T05:30Z,imports,28.8
2026-07-05T05:30Z,gas,13.3
2026-07-05T05:30Z,nuclear,13.3
2026-07-05T05:30Z,other,2.0
2026-07-05T05:30Z,hydro,0.7
2026-07-05T05:30Z,solar,8.0
2026-07-05T05:30Z,wind,29.3
2026-07-05T06:00Z,biomass,4.6
2026-07-05T06:00Z,coal,0.0
2026-07-05T06:00Z,imports,28.9
2026-07-05T06:00Z,gas,13.3
2026-07-05T06:00Z,nuclear,13.3
2026-07-05T06:00Z,other,2.7
2026-07-05T06:00Z,hydro,0.7
2026-07-05T06:00Z,solar,11.2
2026-07-05T06:00Z,wind,25.3
2026-07-05T06:30Z,biomass,4.5
2026-07-05T06:30Z,coal,0.0
2026-07-05T06:30Z,imports,28.0
2026-07-05T06:30Z,gas,12.4
2026-07-05T06:30Z,nuclear,12.8
2026-07-05T06:30Z,other,3.3
2026-07-05T06:30Z,hydro,0.8
2026-07-05T06:30Z,solar,14.2
2026-07-05T06:30Z,wind,24.0
2026-07-05T07:00Z,biomass,4.3
2026-07-05T07:00Z,coal,0.0
2026-07-05T07:00Z,imports,26.8
2026-07-05T07:00Z,gas,11.3
2026-07-05T07:00Z,nuclear,12.2
2026-07-05T07:00Z,other,3.2
2026-07-05T07:00Z,hydro,1.2
2026-07-05T07:00Z,solar,16.8
2026-07-05T07:00Z,wind,24.2
2026-07-05T07:30Z,biomass,4.0
2026-07-05T07:30Z,coal,0.0
2026-07-05T07:30Z,imports,25.1
2026-07-05T07:30Z,gas,10.6
2026-07-05T07:30Z,nuclear,11.5
2026-07-05T07:30Z,other,5.3
2026-07-05T07:30Z,hydro,1.0
2026-07-05T07:30Z,solar,19.9
2026-07-05T07:30Z,wind,22.6
2026-07-05T08:00Z,biomass,3.8
2026-07-05T08:00Z,coal,0.0
2026-07-05T08:00Z,imports,24.1
2026-07-05T08:00Z,gas,9.9
2026-07-05T08:00Z,nuclear,11.0
2026-07-05T08:00Z,other,6.0
2026-07-05T08:00Z,hydro,1.5
2026-07-05T08:00Z,solar,23.2
2026-07-05T08:00Z,wind,20.4
2026-07-05T08:30Z,biomass,3.7
2026-07-05T08:30Z,coal,0.0
2026-07-05T08:30Z,imports,23.4
2026-07-05T08:30Z,gas,9.1
2026-07-05T08:30Z,nuclear,10.7
2026-07-05T08:30Z,other,7.9
2026-07-05T08:30Z,hydro,1.6
2026-07-05T08:30Z,solar,25.7
2026-07-05T08:30Z,wind,17.9
2026-07-05T09:00Z,biomass,3.8
2026-07-05T09:00Z,coal,0.0
2026-07-05T09:00Z,imports,23.5
2026-07-05T09:00Z,gas,8.9
2026-07-05T09:00Z,nuclear,10.7
2026-07-05T09:00Z,other,7.1
2026-07-05T09:00Z,hydro,1.5
2026-07-05T09:00Z,solar,27.7
2026-07-05T09:00Z,wind,16.8
2026-07-05T09:30Z,biomass,4.0
2026-07-05T09:30Z,coal,0.0
2026-07-05T09:30Z,imports,22.1
2026-07-05T09:30Z,gas,9.5
2026-07-05T09:30Z,nuclear,10.5
2026-07-05T09:30Z,other,5.8
2026-07-05T09:30Z,hydro,2.2
2026-07-05T09:30Z,solar,30.3
2026-07-05T09:30Z,wind,15.5
2026-07-05T10:00Z,biomass,4.0
2026-07-05T10:00Z,coal,0.0
2026-07-05T10:00Z,imports,21.9
2026-07-05T10:00Z,gas,9.9
2026-07-05T10:00Z,nuclear,10.5
2026-07-05T10:00Z,other,3.6
2026-07-05T10:00Z,hydro,1.9
2026-07-05T10:00Z,solar,32.1
2026-07-05T10:00Z,wind,16.1
2026-07-05T10:30Z,biomass,3.6
2026-07-05T10:30Z,coal,0.0
2026-07-05T10:30Z,imports,20.7
2026-07-05T10:30Z,gas,9.6
